"YEAR","AMA","SECTOR","CATEGORY","PARENT WATER TYPE OR SECTOR","BUDGET ELEMENT","QUANTITY"
"1994","PHOENIX AMA","Agricultural","Allotment","Agricultural","Groundwater Allotment","1734436"
"1990","PHOENIX AMA","Agricultural","Allotment","Agricultural","Groundwater Allotment","1732407"
"1989","PHOENIX AMA","Agricultural","Allotment","Agricultural","Groundwater Allotment","1730060"
"1991","PHOENIX AMA","Agricultural","Allotment","Agricultural","Groundwater Allotment","1719634"
"1995","PHOENIX AMA","Agricultural","Allotment","Agricultural","Groundwater Allotment","1472183"
"1996","PHOENIX AMA","Agricultural","Allotment","Agricultural","Groundwater Allotment","1457664"
"1997","PHOENIX AMA","Agricultural","Allotment","Agricultural","Groundwater Allotment","1419081"
"1998","PHOENIX AMA","Agricultural","Allotment","Agricultural","Groundwater Allotment","1384560"
"1999","PHOENIX AMA","Agricultural","Allotment","Agricultural","Groundwater Allotment","1357879"
"1992","PINAL AMA","Agricultural","Allotment","Agricultural","Groundwater Allotment","1249597"
"1993","PINAL AMA","Agricultural","Allotment","Agricultural","Groundwater Allotment","1249060"
"1994","PINAL AMA","Agricultural","Allotment","Agricultural","Groundwater Allotment","1247687"
"1990","PINAL AMA","Agricultural","Allotment","Agricultural","Groundwater Allotment","1246761"
"1991","PINAL AMA","Agricultural","Allotment","Agricultural","Groundwater Allotment","1243838"
"1988","PINAL AMA","Agricultural","Allotment","Agricultural","Groundwater Allotment","1242382"
"1987","PINAL AMA","Agricultural","Allotment","Agricultural","Groundwater Allotment","1241888"
"1989","PINAL AMA","Agricultural","Allotment","Agricultural","Groundwater Allotment","1238086"
"1986","PINAL AMA","Agricultural","Allotment","Agricultural","Groundwater Allotment","1228608"
"1985","PINAL AMA","Agricultural","Allotment","Agricultural","Groundwater Allotment","1213480"
"2000","PHOENIX AMA","Agricultural","Allotment","Agricultural","Groundwater Allotment","1174650"
"2001","PHOENIX AMA","Agricultural","Allotment","Agricultural","Groundwater Allotment","1119874"
"1985","PHOENIX AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","1099174"
"2002","PHOENIX AMA","Agricultural","Allotment","Agricultural","Groundwater Allotment","1094691"
"1997","PINAL AMA","Agricultural","Allotment","Agricultural","Groundwater Allotment","1072351"
"1995","PINAL AMA","Agricultural","Allotment","Agricultural","Groundwater Allotment","1070722"
"1996","PINAL AMA","Agricultural","Allotment","Agricultural","Groundwater Allotment","1069653"
"1998","PINAL AMA","Agricultural","Allotment","Agricultural","Groundwater Allotment","1068479"
"1999","PINAL AMA","Agricultural","Allotment","Agricultural","Groundwater Allotment","1067923"
"1989","PHOENIX AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","1058121"
"1988","PHOENIX AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","1038212"
"2003","PHOENIX AMA","Agricultural","Allotment","Agricultural","Groundwater Allotment","1016176"
"1987","PHOENIX AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","1003964"
"2009","TUCSON AMA","Municipal","Population","Municipal","Large Municipal Provider Population","977923"
"1996","PHOENIX AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","976959"
"2002","PINAL AMA","Agricultural","Allotment","Agricultural","Groundwater Allotment","976954"
"2008","PINAL AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","976601"
"2003","PINAL AMA","Agricultural","Allotment","Agricultural","Groundwater Allotment","975955"
"2018","TUCSON AMA","Municipal","Population","Municipal","Large Municipal Provider Population","975634"
"2008","TUCSON AMA","Municipal","Population","Municipal","Large Municipal Provider Population","975157"
"2011","PINAL AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","966370"
"2007","TUCSON AMA","Municipal","Population","Municipal","Large Municipal Provider Population","965190"
"2017","TUCSON AMA","Municipal","Population","Municipal","Large Municipal Provider Population","965007"
"2015","TUCSON AMA","Municipal","Population","Municipal","Large Municipal Provider Population","962880"
"2016","TUCSON AMA","Municipal","Population","Municipal","Large Municipal Provider Population","961135"
"1995","PHOENIX AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","958111"
"2014","TUCSON AMA","Municipal","Population","Municipal","Large Municipal Provider Population","956262"
"1996","PINAL AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","953765"
"2006","TUCSON AMA","Municipal","Population","Municipal","Large Municipal Provider Population","950259"
"2013","TUCSON AMA","Municipal","Population","Municipal","Large Municipal Provider Population","950199"
"2012","TUCSON AMA","Municipal","Population","Municipal","Large Municipal Provider Population","943664"
"2000","PINAL AMA","Agricultural","Allotment","Agricultural","Groundwater Allotment","942064"
"2001","PINAL AMA","Agricultural","Allotment","Agricultural","Groundwater Allotment","941651"
"1986","PHOENIX AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","940887"
"2011","TUCSON AMA","Municipal","Population","Municipal","Large Municipal Provider Population","937782"
"1997","PHOENIX AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","937204"
"2004","PHOENIX AMA","Agricultural","Allotment","Agricultural","Groundwater Allotment","936607"
"2010","TUCSON AMA","Municipal","Population","Municipal","Large Municipal Provider Population","931627"
"2007","PINAL AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","924383"
"2005","TUCSON AMA","Municipal","Population","Municipal","Large Municipal Provider Population","923938"
"2004","PINAL AMA","Agricultural","Allotment","Agricultural","Groundwater Allotment","909802"
"1994","PHOENIX AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","909273"
"2012","PINAL AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","909264"
"2005","PHOENIX AMA","Agricultural","Allotment","Agricultural","Groundwater Allotment","908215"
"1989","PINAL AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","900735"
"2004","TUCSON AMA","Municipal","Population","Municipal","Large Municipal Provider Population","899211"
"1990","PHOENIX AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","891551"
"1997","PINAL AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","876780"
"2003","TUCSON AMA","Municipal","Population","Municipal","Large Municipal Provider Population","874191"
"2005","PINAL AMA","Agricultural","Allotment","Agricultural","Groundwater Allotment","868792"
"2006","PHOENIX AMA","Agricultural","Allotment","Agricultural","Groundwater Allotment","858037"
"2013","PINAL AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","855863"
"2002","TUCSON AMA","Municipal","Population","Municipal","Large Municipal Provider Population","850149"
"1991","PHOENIX AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","848506"
"1993","PHOENIX AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","842416"
"2009","PINAL AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","842066"
"2006","PINAL AMA","Agricultural","Allotment","Agricultural","Groundwater Allotment","838898"
"2014","PINAL AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","836506"
"1995","PINAL AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","833932"
"2001","TUCSON AMA","Municipal","Population","Municipal","Large Municipal Provider Population","829513"
"2017","PINAL AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","827952"
"2002","PINAL AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","824823"
"2007","PHOENIX AMA","Agricultural","Allotment","Agricultural","Groundwater Allotment","824305"
"2010","PINAL AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","823587"
"2003","PINAL AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","811726"
"2000","TUCSON AMA","Municipal","Population","Municipal","Large Municipal Provider Population","808959"
"2018","PINAL AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","807745"
"1992","PHOENIX AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","804989"
"1999","TUCSON AMA","Municipal","Population","Municipal","Large Municipal Provider Population","802336"
"2016","PINAL AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","802137"
"2007","PINAL AMA","Agricultural","Allotment","Agricultural","Groundwater Allotment","798895"
"1999","PHOENIX AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","795499"
"1998","TUCSON AMA","Municipal","Population","Municipal","Large Municipal Provider Population","793661"
"2008","PINAL AMA","Agricultural","Allotment","Agricultural","Groundwater Allotment","789715"
"2009","PINAL AMA","Agricultural","Allotment","Agricultural","Groundwater Allotment","789431"
"2015","PINAL AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","788468"
"2008","PHOENIX AMA","Agricultural","Allotment","Agricultural","Groundwater Allotment","788401"
"2009","PHOENIX AMA","Agricultural","Allotment","Agricultural","Groundwater Allotment","787330"
"1998","PINAL AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","783343"
"2001","PINAL AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","777463"
"2004","PINAL AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","775944"
"1997","TUCSON AMA","Municipal","Population","Municipal","Large Municipal Provider Population","774204"
"2010","PHOENIX AMA","Agricultural","Allotment","Agricultural","Groundwater Allotment","774119"
"1998","PHOENIX AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","771801"
"1988","PINAL AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","769368"
"2000","PINAL AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","767909"
"2006","PINAL AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","761983"
"2000","PHOENIX AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","755046"
"2005","PINAL AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","754602"
"2010","PINAL AMA","Agricultural","Allotment","Agricultural","Groundwater Allotment","754111"
"1985","PINAL AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","749342"
"1996","TUCSON AMA","Municipal","Population","Municipal","Large Municipal Provider Population","742701"
"2011","PHOENIX AMA","Agricultural","Allotment","Agricultural","Groundwater Allotment","738775"
"1995","TUCSON AMA","Municipal","Population","Municipal","Large Municipal Provider Population","735893"
"1994","PINAL AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","729215"
"2002","PHOENIX AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","723000"
"1987","PINAL AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","722156"
"2011","PINAL AMA","Agricultural","Allotment","Agricultural","Groundwater Allotment","720352"
"1999","PINAL AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","720308"
"2001","PHOENIX AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","713363"
"1990","PINAL AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","711446"
"2012","PINAL AMA","Agricultural","Allotment","Agricultural","Groundwater Allotment","710495"
"2012","PHOENIX AMA","Agricultural","Allotment","Agricultural","Groundwater Allotment","707113"
"1994","TUCSON AMA","Municipal","Population","Municipal","Large Municipal Provider Population","704096"
"1989","PHOENIX AMA","Agricultural","Supply","Groundwater","Groundwater","703133"
"1991","PINAL AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","700839"
"1990","PHOENIX AMA","Agricultural","Supply","Groundwater","Groundwater","700103"
"2013","PHOENIX AMA","Agricultural","Allotment","Agricultural","Groundwater Allotment","692509"
"1993","TUCSON AMA","Municipal","Population","Municipal","Large Municipal Provider Population","684441"
"2013","PINAL AMA","Agricultural","Allotment","Agricultural","Groundwater Allotment","681951"
"2000","PHOENIX AMA","Agricultural","Incidental Recharge","","Incidental Recharge Lagged","673933"
"1992","TUCSON AMA","Municipal","Population","Municipal","Large Municipal Provider Population","663582"
"2014","PHOENIX AMA","Agricultural","Allotment","Agricultural","Groundwater Allotment","662004"
"1999","PHOENIX AMA","Agricultural","Incidental Recharge","","Incidental Recharge Lagged","648425"
"1985","PHOENIX AMA","Agricultural","Supply","Groundwater","Groundwater","647719"
"1986","PHOENIX AMA","Agricultural","Supply","Groundwater","Groundwater","645950"
"1993","PINAL AMA","Recharge","Natural","","Streambed Actual","645532"
"2015","PHOENIX AMA","Agricultural","Allotment","Agricultural","Groundwater Allotment","644717"
"1991","TUCSON AMA","Municipal","Population","Municipal","Large Municipal Provider Population","643415"
"2014","PINAL AMA","Agricultural","Allotment","Agricultural","Groundwater Allotment","640039"
"1986","PINAL AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","637677"
"2007","PHOENIX AMA","Agricultural","Incidental Recharge","","Incidental Recharge Lagged","635527"
"1990","TUCSON AMA","Municipal","Population","Municipal","Large Municipal Provider Population","635076"
"1988","PHOENIX AMA","Agricultural","Supply","Groundwater","Groundwater","632303"
"1998","PHOENIX AMA","Agricultural","Incidental Recharge","","Incidental Recharge Lagged","630723"
"2015","PINAL AMA","Agricultural","Allotment","Agricultural","Groundwater Allotment","628591"
"1989","TUCSON AMA","Municipal","Population","Municipal","Large Municipal Provider Population","628190"
"2016","PHOENIX AMA","Agricultural","Allotment","Agricultural","Groundwater Allotment","627743"
"2016","PINAL AMA","Agricultural","Allotment","Agricultural","Groundwater Allotment","626906"
"2009","PHOENIX AMA","Agricultural","Incidental Recharge","","Incidental Recharge Lagged","625529"
"2017","PINAL AMA","Agricultural","Allotment","Agricultural","Groundwater Allotment","624366"
"2017","PHOENIX AMA","Agricultural","Allotment","Agricultural","Groundwater Allotment","617432"
"1988","TUCSON AMA","Municipal","Population","Municipal","Large Municipal Provider Population","617086"
"2018","PINAL AMA","Agricultural","Allotment","Agricultural","Groundwater Allotment","614789"
"1987","TUCSON AMA","Municipal","Population","Municipal","Large Municipal Provider Population","609302"
"2018","PHOENIX AMA","Agricultural","Allotment","Agricultural","Groundwater Allotment","606725"
"2003","PHOENIX AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","604868"
"2006","PHOENIX AMA","Agricultural","Incidental Recharge","","Incidental Recharge Lagged","604398"
"2010","PHOENIX AMA","Agricultural","Incidental Recharge","","Incidental Recharge Lagged","600816"
"1995","PHOENIX AMA","Agricultural","Incidental Recharge","","Incidental Recharge Lagged","599601"
"1992","PINAL AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","596118"
"1985","PINAL AMA","Agricultural","Supply","Groundwater","Groundwater","594844"
"1985","PHOENIX AMA","Agricultural","Incidental Recharge","","Incidental Recharge Lagged","585461"
"2007","PHOENIX AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","582907"
"1986","TUCSON AMA","Municipal","Population","Municipal","Large Municipal Provider Population","582538"
"1993","PINAL AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","580799"
"2004","PHOENIX AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","579214"
"1986","PHOENIX AMA","Agricultural","Incidental Recharge","","Incidental Recharge Lagged","577372"
"1994","PHOENIX AMA","Agricultural","Incidental Recharge","","Incidental Recharge Lagged","573311"
"1987","PHOENIX AMA","Agricultural","Supply","Groundwater","Groundwater","572866"
"2006","PHOENIX AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","572042"
"1987","PHOENIX AMA","Agricultural","Incidental Recharge","","Incidental Recharge Lagged","569202"
"2012","PHOENIX AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","567463"
"2011","PHOENIX AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","559138"
"1994","PHOENIX AMA","Agricultural","Supply","Groundwater","Groundwater","557581"
"1985","TUCSON AMA","Municipal","Population","Municipal","Large Municipal Provider Population","556850"
"2004","PHOENIX AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","552328"
"2008","PHOENIX AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","552026"
"2009","PHOENIX AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","549668"
"2008","PHOENIX AMA","Agricultural","Incidental Recharge","","Incidental Recharge Lagged","548157"
"2005","PHOENIX AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","547406"
"2017","PHOENIX AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","545922"
"2018","PHOENIX AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","545862"
"1996","PHOENIX AMA","Agricultural","Supply","Groundwater","Groundwater","545558"
"2013","PHOENIX AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","542740"
"2005","PHOENIX AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","538447"
"2002","PHOENIX AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","538279"
"2016","PHOENIX AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","536857"
"2003","PHOENIX AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","536651"
"2012","PHOENIX AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","535293"
"2004","PHOENIX AMA","Agricultural","Incidental Recharge","","Incidental Recharge Lagged","534478"
"1993","PHOENIX AMA","Agricultural","Incidental Recharge","","Incidental Recharge Lagged","534248"
"2011","PHOENIX AMA","Agricultural","Incidental Recharge","","Incidental Recharge Lagged","531208"
"1987","PINAL AMA","Agricultural","Supply","Groundwater","Groundwater","529846"
"2011","PHOENIX AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","529775"
"2013","PHOENIX AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","529272"
"2014","PHOENIX AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","527405"
"2014","PHOENIX AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","526531"
"2002","PHOENIX AMA","Agricultural","Incidental Recharge","","Incidental Recharge Lagged","524563"
"2015","PHOENIX AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","523401"
"1988","PHOENIX AMA","Agricultural","Incidental Recharge","","Incidental Recharge Lagged","522300"
"2007","PHOENIX AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","522101"
"2001","PHOENIX AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","520068"
"2010","PHOENIX AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","519819"
"2008","PHOENIX AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","517009"
"1986","PINAL AMA","Agricultural","Supply","Groundwater","Groundwater","516756"
"1996","PHOENIX AMA","Agricultural","Incidental Recharge","","Incidental Recharge Lagged","516002"
"2015","PHOENIX AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","515275"
"2006","PHOENIX AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","515204"
"1989","PHOENIX AMA","Agricultural","Incidental Recharge","","Incidental Recharge Lagged","514523"
"2003","PHOENIX AMA","Agricultural","Incidental Recharge","","Incidental Recharge Lagged","513449"
"1997","PHOENIX AMA","Agricultural","Incidental Recharge","","Incidental Recharge Lagged","508271"
"1990","PHOENIX AMA","Agricultural","Incidental Recharge","","Incidental Recharge Lagged","508263"
"2000","PHOENIX AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","508248"
"1991","PHOENIX AMA","Agricultural","Incidental Recharge","","Incidental Recharge Lagged","505378"
"2017","PHOENIX AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","503805"
"1992","PHOENIX AMA","Agricultural","Incidental Recharge","","Incidental Recharge Lagged","500339"
"2016","PHOENIX AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","493940"
"2001","PHOENIX AMA","Agricultural","Incidental Recharge","","Incidental Recharge Lagged","493828"
"2009","PHOENIX AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","492019"
"2018","PHOENIX AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","490999"
"1988","PINAL AMA","Agricultural","Supply","Groundwater","Groundwater","489247"
"1997","PHOENIX AMA","Agricultural","Supply","Groundwater","Groundwater","484376"
"2012","PHOENIX AMA","Agricultural","Incidental Recharge","","Incidental Recharge Lagged","482143"
"1999","PHOENIX AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","477784"
"2005","PHOENIX AMA","Agricultural","Incidental Recharge","","Incidental Recharge Lagged","475936"
"2010","PHOENIX AMA","Agricultural","Demand","Agricultural","Non-Exempt IGFRs","474581"
"1995","PHOENIX AMA","Agricultural","Supply","Groundwater","Groundwater","474033"
"1989","PINAL AMA","Agricultural","Supply","Groundwater","Groundwater","472955"
"2015","PHOENIX AMA","Agricultural","Incidental Recharge","","Incidental Recharge Lagged","469184"
"2016","PHOENIX AMA","Agricultural","Incidental Recharge","","Incidental Recharge Lagged","467628"
"2014","PHOENIX AMA","Agricultural","Incidental Recharge","","Incidental Recharge Lagged","466491"
"1991","PHOENIX AMA","Agricultural","Supply","Groundwater","Groundwater","465080"
"1996","PINAL AMA","Agricultural","Supply","Groundwater","Groundwater","462628"
"1996","PINAL AMA","Agricultural","Incidental Recharge","","Incidental Recharge Lagged","459941"
"1997","PHOENIX AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","459345"
"1999","PHOENIX AMA","Municipal","Supply","Surface Water","Surface Water","459330"
"1989","PHOENIX AMA","Agricultural","Supply","Surface Water","Surface Water","450473"
"2013","PHOENIX AMA","Agricultural","Incidental Recharge","","Incidental Recharge Lagged","450466"
"1988","PHOENIX AMA","Agricultural","Supply","Surface Water","Surface Water","448694"
"2006","PHOENIX AMA","Municipal","Supply","Surface Water","Surface Water","448381"
"1998","PHOENIX AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","447891"
"2003","PINAL AMA","Agricultural","Supply","Groundwater","Groundwater","447705"
"1998","PHOENIX AMA","Municipal","Supply","Surface Water","Surface Water","446495"
"1996","PHOENIX AMA","Municipal","Supply","Surface Water","Surface Water","440476"
"2002","PHOENIX AMA","Agricultural","Supply","Groundwater","Groundwater","440124"
"1996","PHOENIX AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","439783"
"2008","PINAL AMA","Agricultural","Incidental Recharge","","Incidental Recharge Lagged","437411"
"2011","PINAL AMA","Agricultural","Supply","Groundwater","Groundwater","433649"
"2004","PINAL AMA","Agricultural","Supply","Groundwater","Groundwater","431700"
"2007","PHOENIX AMA","Municipal","Supply","Surface Water","Surface Water","431509"
"2013","PINAL AMA","Agricultural","Supply","Groundwater","Groundwater","428597"
"2016","PINAL AMA","Agricultural","Supply","Groundwater","Groundwater","428369"
"2007","PINAL AMA","Agricultural","Incidental Recharge","","Incidental Recharge Lagged","427996"
"1985","PHOENIX AMA","Agricultural","Incidental Recharge","","Incidental Recharge Total","427981"
"2008","PINAL AMA","Agricultural","Supply","Groundwater","Groundwater","427462"
"2017","PINAL AMA","Agricultural","Supply","Groundwater","Groundwater","427418"
"1997","PINAL AMA","Agricultural","Incidental Recharge","","Incidental Recharge Lagged","427065"
"1989","PHOENIX AMA","Agricultural","Incidental Recharge","","Incidental Recharge Total","424728"
"1989","PINAL AMA","Agricultural","Incidental Recharge","","Incidental Recharge Lagged","423444"
"2014","PINAL AMA","Agricultural","Supply","Groundwater","Groundwater","423119"
"1997","PHOENIX AMA","Municipal","Supply","Surface Water","Surface Water","423023"
"2012","PINAL AMA","Agricultural","Supply","Groundwater","Groundwater","422489"
"2000","PHOENIX AMA","Municipal","Supply","Surface Water","Surface Water","422194"
"2001","PHOENIX AMA","Municipal","Supply","Surface Water","Surface Water","420843"
"2000","PHOENIX AMA","Agricultural","Supply","Groundwater","Groundwater","420485"
"2018","PINAL AMA","Agricultural","Supply","Groundwater","Groundwater","419964"
"1991","PHOENIX AMA","Agricultural","Supply","Surface Water","Surface Water","418856"
"1999","PHOENIX AMA","Agricultural","Supply","Groundwater","Groundwater","418649"
"1988","PHOENIX AMA","Agricultural","Incidental Recharge","","Incidental Recharge Total","418080"
"1991","PINAL AMA","Agricultural","Supply","Groundwater","Groundwater","416508"
"1986","PHOENIX AMA","Agricultural","Supply","Surface Water","Surface Water","413154"
"2015","PINAL AMA","Agricultural","Supply","Groundwater","Groundwater","410895"
"2011","PHOENIX AMA","Municipal","Supply","Surface Water","Surface Water","407844"
"2002","PINAL AMA","Agricultural","Incidental Recharge","","Incidental Recharge Lagged","406396"
