Apple Creek,Industrial,Year,Acre Feet,Acres
James Headwaters,Irrigation,2019,1299.9,5181.1
James Headwaters,Irrigation,2018,1860.4,4891
James Headwaters,Irrigation,2017,1952.3,5356
James Headwaters,Irrigation,2016,2132.6,5047
James Headwaters,Irrigation,2015,3261.9,4982
James Headwaters,Irrigation,2014,1371.3,3741.2
James Headwaters,Irrigation,2013,2358.1,5029
James Headwaters,Irrigation,2012,1869.7,5218.8
James Headwaters,Irrigation,2011,386.4,1606
James Headwaters,Irrigation,2010,1291.8,4028
James Headwaters,Multiple Use,Year,Acre Feet,Acres
James Headwaters,Multiple Use,2019,72.3,0
James Headwaters,Multiple Use,2018,130.9,0
James Headwaters,Multiple Use,2017,117.8,0
James Headwaters,Multiple Use,2016,118,0
James Headwaters,Multiple Use,2015,138.3,0
James Headwaters,Multiple Use,2014,93.5,0
James Headwaters,Multiple Use,2013,113.9,0
James Headwaters,Multiple Use,2012,145.1,0
James Headwaters,Multiple Use,2011,89.2,0
James Headwaters,Multiple Use,2010,136,0
James Headwaters,Municipal,Year,Acre Feet,Acres
James Headwaters,Municipal,2019,641.1,0
James Headwaters,Municipal,2018,632.1,0
James Headwaters,Municipal,2017,666.1,0
James Headwaters,Municipal,2016,716.4,0
James Headwaters,Municipal,2015,644.3,0
James Headwaters,Municipal,2014,640.5,0
James Headwaters,Municipal,2013,613.5,0
James Headwaters,Municipal,2012,580.2,0
James Headwaters,Municipal,2011,547.4,0
James Headwaters,Municipal,2010,528.1,0
James Headwaters,Rural Water,Year,Acre Feet,Acres
James Headwaters,Rural Water,2019,370.9,0
James Headwaters,Rural Water,2018,369.6,0
James Headwaters,Rural Water,2017,357.5,0
James Headwaters,Rural Water,2016,369.5,0
James Headwaters,Rural Water,2015,393.5,0
James Headwaters,Rural Water,2014,371.8,0
James Headwaters,Rural Water,2013,376,0
James Headwaters,Rural Water,2012,365.1,0
James Headwaters,Rural Water,2011,320.1,0
James Headwaters,Rural Water,2010,359,0
Knife,Industrial,Year,Acre Feet,Acres
Knife,Industrial,2019,264.2,0
Knife,Industrial,2018,517.3,0
Knife,Industrial,2017,520.2,0
Knife,Industrial,2016,150.3,0
Knife,Industrial,2015,302.1,0
Knife,Industrial,2014,459.1,0
Knife,Industrial,2013,520.6,0
Knife,Industrial,2012,610.1,0
Knife,Industrial,2011,508.1,0
Knife,Industrial,2010,500.3,0
Knife,Irrigation,Year,Acre Feet,Acres
Knife,Irrigation,2019,951,2632.7
Knife,Irrigation,2018,1357.3,2770.9
Knife,Irrigation,2017,1306.5,1922.6
Knife,Irrigation,2016,878.4,1933.5
Knife,Irrigation,2015,972.8,1508.5
Knife,Irrigation,2014,501,1266.5
Knife,Irrigation,2013,765.5,1233
Knife,Irrigation,2012,1003.5,1266.5
Knife,Irrigation,2011,389.2,1271.5
Knife,Irrigation,2010,793.8,1360.5
Knife,Municipal,Year,Acre Feet,Acres
Knife,Municipal,2019,413.6,0
Knife,Municipal,2018,449.5,0
Knife,Municipal,2017,431,0
Knife,Municipal,2016,397.7,0
Knife,Municipal,2015,596.1,0
Knife,Municipal,2014,600.2,0
Knife,Municipal,2013,609.1,0
Knife,Municipal,2012,732.4,0
Knife,Municipal,2011,801.2,0
Knife,Municipal,2010,859.3,0
Knife,Power Generation,Year,Acre Feet,Acres
Knife,Power Generation,2013,0,0
Knife,Power Generation,2012,0,0
Knife,Power Generation,2011,0,0
Knife,Power Generation,2010,0.1,0
Knife,Rural Water,Year,Acre Feet,Acres
Knife,Rural Water,2019,0,0
Knife,Rural Water,2018,0,0
Knife,Rural Water,2017,0,0
Knife,Rural Water,2016,0,0
Knife,Rural Water,2015,0,0
Knife,Rural Water,2014,0,0
Knife,Rural Water,2013,4.6,0
Knife,Rural Water,2012,3.7,0
Knife,Rural Water,2011,2.8,0
Knife,Rural Water,2010,2.8,0
Lake Sakakawea,Industrial,Year,Acre Feet,Acres
Lake Sakakawea,Industrial,2019,6697.3,0
Lake Sakakawea,Industrial,2018,6362.6,15.1
Lake Sakakawea,Industrial,2017,4585,0
Lake Sakakawea,Industrial,2016,2317.5,0
Lake Sakakawea,Industrial,2015,4378.3,0
Lake Sakakawea,Industrial,2014,5725.6,0
Lake Sakakawea,Industrial,2013,4640.3,0
Lake Sakakawea,Industrial,2012,4782.1,0
Lake Sakakawea,Industrial,2011,3889.1,0
Lake Sakakawea,Industrial,2010,2294.8,0
Lake Sakakawea,Irrigation,Year,Acre Feet,Acres
Lake Sakakawea,Irrigation,2019,4149.1,7916.6
Lake Sakakawea,Irrigation,2018,5403,7610.3
Lake Sakakawea,Irrigation,2017,6266.3,7507.9
Lake Sakakawea,Irrigation,2016,3446.8,6504.3
Lake Sakakawea,Irrigation,2015,2857.5,4825.4
Lake Sakakawea,Irrigation,2014,2226.7,4260.8
Lake Sakakawea,Irrigation,2013,2802.6,4985.3
Lake Sakakawea,Irrigation,2012,4214.5,6195.3
Lake Sakakawea,Irrigation,2011,1774.4,4791
Lake Sakakawea,Irrigation,2010,3649.2,7339.6
Lake Sakakawea,Municipal,Year,Acre Feet,Acres
Lake Sakakawea,Municipal,2019,621.5,0
Lake Sakakawea,Municipal,2018,638.2,0
Lake Sakakawea,Municipal,2017,592.6,0
Lake Sakakawea,Municipal,2016,533.5,0
Lake Sakakawea,Municipal,2015,506.4,0
Lake Sakakawea,Municipal,2014,558.3,0
Lake Sakakawea,Municipal,2013,613.8,0
Lake Sakakawea,Municipal,2012,453.3,0
Lake Sakakawea,Municipal,2011,451.6,0
Lake Sakakawea,Municipal,2010,644.7,0
Lake Sakakawea,Rural Water,Year,Acre Feet,Acres
Lake Sakakawea,Rural Water,2019,377.9,0
Lake Sakakawea,Rural Water,2018,321.7,0
Lake Sakakawea,Rural Water,2017,498.5,0
Lake Sakakawea,Rural Water,2016,343.5,0
Lake Sakakawea,Rural Water,2015,764.1,0
Lake Sakakawea,Rural Water,2014,900.8,0
Lake Sakakawea,Rural Water,2013,902.7,0
Lake Sakakawea,Rural Water,2012,828.5,0
Lake Sakakawea,Rural Water,2011,657.8,0
