Apple Creek,Domestic,Year,Acre Feet,Acres,,,
Beaver,Municipal,2008,398.3,0,,,
Beaver,Municipal,2007,420.8,0,,,
Beaver,Municipal,2006,476.7,0,,,
Beaver,Municipal,2005,427.4,0,,,
Beaver,Municipal,2004,746.4,0,,,
Beaver,Municipal,2003,671.9,0,,,
Beaver,Municipal,2002,740,0,,,
Beaver,Municipal,2001,596.6,0,,,
Beaver,Municipal,2000,616.7,0,,,
Beaver,Municipal,1999,552.4,0,,,
Beaver,Municipal,1998,658.2,0,,,
Beaver,Municipal,1997,657.8,0,,,
Beaver,Municipal,1996,576.5,0,,,
Beaver,Municipal,1995,626.8,0,,,
Beaver,Municipal,1994,657.6,0,,,
Beaver,Municipal,1993,524.5,0,,,
Beaver,Municipal,1992,645.3,0,,,
Beaver,Municipal,1991,721.4,0,,,
Beaver,Municipal,1990,770.7,0,,,
Beaver,Municipal,1989,984.8,0,,,
Beaver,Municipal,1988,917.3,0,,,
Beaver,Municipal,1987,730,0,,,
Beaver,Municipal,1986,711.1,0,,,
Beaver,Municipal,1985,843.2,0,,,
Beaver,Municipal,1984,844.9,0,,,
Beaver,Municipal,1983,936.8,0,,,
Beaver,Municipal,1982,841.8,0,,,
Beaver,Municipal,1981,275.5,0,,,
Beaver,Municipal,1980,718.1,0,,,
Beaver,Municipal,1979,253.7,0,,,
Beaver,Municipal,1978,756.8,0,,,
Beaver,Municipal,1977,313.6,0,,,
Beaver,Rural Water,Year,Acre Feet,Acres,,,
Beaver,Rural Water,2019,0.1,0,,,
Beaver,Rural Water,2018,0.1,0,,,
Beaver,Rural Water,2017,0.1,0,,,
Beaver,Rural Water,2016,0.2,0,,,
Beaver,Rural Water,2015,0.2,0,,,
Beaver,Rural Water,2014,0.8,0,,,
Beaver,Rural Water,2013,0.8,0,,,
Beaver,Rural Water,2012,1,0,,,
Beaver,Rural Water,2011,1,0,,,
Beaver,Rural Water,2010,0.7,0,,,
Beaver,Rural Water,2009,0.2,0,,,
Beaver,Rural Water,2008,0.5,0,,,
Beaver,Rural Water,2007,0.7,0,,,
Beaver,Rural Water,2006,0.7,0,,,
Beaver,Rural Water,2005,0.1,0,,,
Beaver,Rural Water,2004,0.7,0,,,
Beaver,Rural Water,2003,0.7,0,,,
Beaver,Rural Water,2002,0.6,0,,,
Beaver,Rural Water,2001,0.1,0,,,
Beaver,Rural Water,2000,0.3,0,,,
Beaver,Rural Water,1999,7.2,0,,,
Beaver,Rural Water,1998,1.1,0,,,
Beaver,Rural Water,1997,0.1,0,,,
Beaver,Rural Water,1996,0.1,0,,,
Beaver,Rural Water,1995,0.1,0,,,
Beaver,Rural Water,1994,1.9,0,,,
Beaver,Rural Water,1993,0.1,0,,,
Beaver,Rural Water,1992,0.1,0,,,
Beaver,Rural Water,1991,0.1,0,,,
Beaver,Rural Water,1990,0.1,0,,,
Beaver,Rural Water,1989,0.1,0,,,
Beaver,Rural Water,1988,0.1,0,,,
Beaver,Rural Water,1987,0.1,0,,,
Beaver,Rural Water,1986,0.1,0,,,
Beaver,Rural Water,1985,0.4,0,,,
Beaver,Rural Water,1984,0.4,0,,,
Beaver,Rural Water,1983,0.1,0,,,
Beaver,Rural Water,1982,3.7,0,,,
Beaver,Rural Water,1981,1,0,,,
Bois De Sioux,Industrial,Year,Acre Feet,Acres,,,
Bois De Sioux,Industrial,2019,60.4,0,,,
Bois De Sioux,Industrial,2018,56.8,0,,,
Bois De Sioux,Industrial,2017,57.4,0,,,
Bois De Sioux,Industrial,2016,55.5,0,,,
Bois De Sioux,Industrial,2014,70.3,0,,,
Bois De Sioux,Industrial,2013,57.5,0,,,
Bois De Sioux,Industrial,2012,61.1,0,,,
Bois De Sioux,Industrial,2011,41.1,0,,,
Bois De Sioux,Industrial,2010,39.6,0,,,
Bois De Sioux,Industrial,2009,36.2,0,,,
Bois De Sioux,Industrial,2008,41.8,0,,,
Bois De Sioux,Industrial,2007,41.8,0,,,
Bois De Sioux,Industrial,2006,45.6,0,,,
Bois De Sioux,Industrial,2005,44.3,0,,,
Bois De Sioux,Industrial,2004,49.6,0,,,
Bois De Sioux,Industrial,2003,59.5,0,,,
Bois De Sioux,Industrial,2002,32.5,0,,,
Bois De Sioux,Industrial,2001,26.6,0,,,
Bois De Sioux,Industrial,2000,25,0,,,
Bois De Sioux,Industrial,1999,22.2,0,,,
Bois De Sioux,Industrial,1998,15.7,0,,,
Bois De Sioux,Industrial,1997,15.4,0,,,
Bois De Sioux,Industrial,1996,13.8,0,,,
Bois De Sioux,Industrial,1995,0,0,,,
Bois De Sioux,Irrigation,Year,Acre Feet,Acres,,,
Bois De Sioux,Irrigation,2019,0,0,,,
Bois De Sioux,Irrigation,2018,5.8,108.1,,,
Bois De Sioux,Irrigation,2017,35.2,108.1,,,
Bois De Sioux,Irrigation,2016,60.2,108.1,,,
Bois De Sioux,Irrigation,2015,67,106,,,
Bois De Sioux,Irrigation,2014,51.4,106,,,
Bois De Sioux,Irrigation,2013,66.4,106,,,
Bois De Sioux,Irrigation,2012,72.6,106,,,
Bois De Sioux,Municipal,Year,Acre Feet,Acres,,,
Bois De Sioux,Municipal,2019,30.9,0,,,
Bois De Sioux,Municipal,2018,33.1,0,,,
Bois De Sioux,Municipal,2017,36.8,0,,,
Bois De Sioux,Municipal,2016,42.4,0,,,
Bois De Sioux,Municipal,2015,40.2,0,,,
Bois De Sioux,Municipal,2014,32.1,0,,,
Bois De Sioux,Municipal,2013,38.3,0,,,
Bois De Sioux,Municipal,2012,34.7,0,,,
Bois De Sioux,Municipal,2011,33.2,0,,,
Bois De Sioux,Municipal,2010,32.6,0,,,
Bois De Sioux,Municipal,2009,34.1,0,,,
Bois De Sioux,Municipal,2008,40.5,0,,,
Bois De Sioux,Municipal,2007,52.8,0,,,
Bois De Sioux,Municipal,2006,52.1,0,,,
Bois De Sioux,Municipal,2005,53.5,0,,,
Bois De Sioux,Municipal,2004,56,0,,,
Bois De Sioux,Municipal,2003,58.9,0,,,
Bois De Sioux,Municipal,2002,58,0,,,
Bois De Sioux,Municipal,2001,53.3,0,,,
Bois De Sioux,Municipal,2000,55.8,0,,,
Bois De Sioux,Municipal,1999,48.6,0,,,
Bois De Sioux,Municipal,1998,50.3,0,,,
Bois De Sioux,Municipal,1997,49.7,0,,,
Bois De Sioux,Municipal,1996,52.3,0,,,
Bois De Sioux,Municipal,1995,47.9,0,,,
Bois De Sioux,Municipal,1994,47.9,0,,,
Bois De Sioux,Municipal,1993,56,0,,,
Bois De Sioux,Municipal,1992,50.2,0,,,
Bois De Sioux,Municipal,1991,54.9,0,,,
Bois De Sioux,Municipal,1990,0.2,0,,,
Bois De Sioux,Municipal,1989,57,0,,,
Bois De Sioux,Municipal,1988,77.3,0,,,
Bois De Sioux,Municipal,1987,108.8,0,,,
Bois De Sioux,Municipal,1986,108.4,0,,,
Bois De Sioux,Municipal,1985,95.4,0,,,
Bois De Sioux,Municipal,1984,95.2,0,,,
Bois De Sioux,Municipal,1983,69.6,0,,,
Bois De Sioux,Municipal,1982,56.6,0,,,
Bois De Sioux,Municipal,1981,50.7,0,,,
Bois De Sioux,Municipal,1980,52.9,0,,,
Bois De Sioux,Municipal,1979,51.8,0,,,
Bois De Sioux,Municipal,1978,56,0,,,
Bois De Sioux,Municipal,1977,44.8,0,,,
Brush Lake Closed Basin,Industrial,Year,Acre Feet,Acres,,,
Brush Lake Closed Basin,Industrial,2019,10.1,0,,,
Brush Lake Closed Basin,Industrial,2018,20.4,0,,,
Brush Lake Closed Basin,Industrial,2017,16.1,0,,,
Brush Lake Closed Basin,Industrial,2016,69.5,0,,,
Brush Lake Closed Basin,Industrial,2015,106.2,0,,,
Brush Lake Closed Basin,Industrial,2014,147.1,0,,,
Brush Lake Closed Basin,Industrial,2013,217.5,0,,,
Brush Lake Closed Basin,Industrial,2012,179,0,,,
Brush Lake Closed Basin,Industrial,2011,117.4,0,,,
Brush Lake Closed Basin,Industrial,2010,10.9,0,,,
Brush Lake Closed Basin,Industrial,2009,11.7,0,,,
Brush Lake Closed Basin,Industrial,2008,5.3,0,,,
Brush Lake Closed Basin,Industrial,2007,1.5,0,,,
Brush Lake Closed Basin,Industrial,2006,2,0,,,
Brush Lake Closed Basin,Industrial,2005,2.8,0,,,
Brush Lake Closed Basin,Industrial,2004,2.5,0,,,
Brush Lake Closed Basin,Industrial,2003,2.2,0,,,
Brush Lake Closed Basin,Industrial,2002,1.7,0,,,
Brush Lake Closed Basin,Industrial,2001,0.2,0,,,
Brush Lake Closed Basin,Industrial,2000,0.5,0,,,
Brush Lake Closed Basin,Industrial,1999,0.7,0,,,
Brush Lake Closed Basin,Industrial,1998,0.6,0,,,
Brush Lake Closed Basin,Industrial,1997,0,0,,,
Brush Lake Closed Basin,Industrial,1996,0,0,,,
Brush Lake Closed Basin,Industrial,1995,0.5,0,,,
Brush Lake Closed Basin,Industrial,1994,0.8,0,,,
Brush Lake Closed Basin,Industrial,1993,3.5,0,,,
Brush Lake Closed Basin,Industrial,1992,8.5,0,,,
Brush Lake Closed Basin,Industrial,1991,14.3,0,,,
Brush Lake Closed Basin,Industrial,1990,16.2,0,,,
Brush Lake Closed Basin,Industrial,1989,18.6,0,,,
Brush Lake Closed Basin,Industrial,1988,6.8,0,,,
Brush Lake Closed Basin,Industrial,1987,4.4,0,,,
Brush Lake Closed Basin,Industrial,1986,3.4,0,,,
Brush Lake Closed Basin,Industrial,1985,11.3,0,,,
Brush Lake Closed Basin,Industrial,1984,13.4,0,,,
Brush Lake Closed Basin,Industrial,1983,19.4,0,,,
Brush Lake Closed Basin,Industrial,1982,0.6,0,,,
Brush Lake Closed Basin,Industrial,1981,66.3,0,,,
Brush Lake Closed Basin,Industrial,1980,13.4,0,,,
Brush Lake Closed Basin,Industrial,1979,13.9,0,,,
Brush Lake Closed Basin,Industrial,1978,16.2,0,,,
Brush Lake Closed Basin,Industrial,1977,11.7,0,,,
Brush Lake Closed Basin,Irrigation,Year,Acre Feet,Acres,,,
Brush Lake Closed Basin,Irrigation,2019,1351.8,2072.2,,,
Brush Lake Closed Basin,Irrigation,2018,1682.3,2190.1,,,
Brush Lake Closed Basin,Irrigation,2017,2500.7,2473.1,,,
Brush Lake Closed Basin,Irrigation,2016,1798.8,2493.3,,,
Brush Lake Closed Basin,Irrigation,2015,1481.2,2202.1,,,
Brush Lake Closed Basin,Irrigation,2014,1654,2461.1,,,
Brush Lake Closed Basin,Irrigation,2013,1320.7,1676,,,
Brush Lake Closed Basin,Irrigation,2012,1691,2073,,,
Brush Lake Closed Basin,Irrigation,2011,1657.4,2213.4,,,
Brush Lake Closed Basin,Irrigation,2010,1931.1,2718.4,,,
Brush Lake Closed Basin,Irrigation,2009,1925.4,2951.8,,,
Brush Lake Closed Basin,Irrigation,2008,2567.1,2968.6,,,
Brush Lake Closed Basin,Irrigation,2007,2226.7,2955.7,,,
Brush Lake Closed Basin,Irrigation,2006,2612.9,2968.1,,,
Brush Lake Closed Basin,Irrigation,2005,2592.8,2978.6,,,
Brush Lake Closed Basin,Irrigation,2004,2270.6,2865.1,,,
Brush Lake Closed Basin,Irrigation,2003,3181.7,2860.2,,,
Brush Lake Closed Basin,Irrigation,2002,2589.6,3009.1,,,
Brush Lake Closed Basin,Irrigation,2001,2285.5,2858.7,,,
Brush Lake Closed Basin,Irrigation,2000,1854.6,2745.6,,,
Brush Lake Closed Basin,Irrigation,1999,1803.3,2766.7,,,
Brush Lake Closed Basin,Irrigation,1998,2942,3072.8,,,
Brush Lake Closed Basin,Irrigation,1997,2448,3000.2,,,
Brush Lake Closed Basin,Irrigation,1996,2366.4,2883.7,,,
Brush Lake Closed Basin,Irrigation,1995,1955.3,2885.8,,,
Brush Lake Closed Basin,Irrigation,1994,2663.8,2928,,,
Brush Lake Closed Basin,Irrigation,1993,1641.9,2894,,,
Brush Lake Closed Basin,Irrigation,1992,2246.4,2775.6,,,
Brush Lake Closed Basin,Irrigation,1991,2796.1,3011.1,,,
Brush Lake Closed Basin,Irrigation,1990,3003.7,2852.2,,,
Brush Lake Closed Basin,Irrigation,1989,3670.8,2912.2,,,
Brush Lake Closed Basin,Irrigation,1988,4321.4,2913.2,,,
Brush Lake Closed Basin,Irrigation,1987,2656.7,2666.5,,,
Brush Lake Closed Basin,Irrigation,1986,2604,2537.6,,,
Brush Lake Closed Basin,Irrigation,1985,3258.2,2683.7,,,
Brush Lake Closed Basin,Irrigation,1984,3886.8,2748,,,
Brush Lake Closed Basin,Irrigation,1983,2391.4,2118.8,,,
Brush Lake Closed Basin,Irrigation,1982,2365.1,2345,,,
Brush Lake Closed Basin,Irrigation,1981,1964.3,1961,,,
Brush Lake Closed Basin,Irrigation,1980,1019.8,822,,,
Brush Lake Closed Basin,Irrigation,1979,482.6,589,,,
Brush Lake Closed Basin,Irrigation,1978,324.4,459,,,
Brush Lake Closed Basin,Irrigation,1977,441.9,407,,,
Brush Lake Closed Basin,Municipal,Year,Acre Feet,Acres,,,
Brush Lake Closed Basin,Municipal,2019,38.2,0,,,
Brush Lake Closed Basin,Municipal,2018,35.5,0,,,
Brush Lake Closed Basin,Municipal,2017,44.4,0,,,
Brush Lake Closed Basin,Municipal,2016,7.8,0,,,
Brush Lake Closed Basin,Municipal,2015,9.3,0,,,
Brush Lake Closed Basin,Municipal,2014,19.6,0,,,
Brush Lake Closed Basin,Municipal,2013,26.6,0,,,
Brush Lake Closed Basin,Municipal,2012,39.3,0,,,
Brush Lake Closed Basin,Municipal,2011,22.1,0,,,
Brush Lake Closed Basin,Municipal,2010,27.1,0,,,
Brush Lake Closed Basin,Municipal,2009,22.1,0,,,
Brush Lake Closed Basin,Municipal,2008,9.6,0,,,
Brush Lake Closed Basin,Municipal,2007,8.3,0,,,
Brush Lake Closed Basin,Municipal,2006,9.2,0,,,
Brush Lake Closed Basin,Municipal,2005,7.9,0,,,
Brush Lake Closed Basin,Municipal,2004,6.7,0,,,
Brush Lake Closed Basin,Municipal,2003,5.5,0,,,
Brush Lake Closed Basin,Municipal,2002,4.8,0,,,
Brush Lake Closed Basin,Municipal,2001,6.5,0,,,
Brush Lake Closed Basin,Municipal,2000,4.7,0,,,
Brush Lake Closed Basin,Municipal,1999,4.4,0,,,
Brush Lake Closed Basin,Municipal,1998,4.9,0,,,
Brush Lake Closed Basin,Municipal,1997,8,0,,,
Brush Lake Closed Basin,Municipal,1996,9.3,0,,,
Brush Lake Closed Basin,Municipal,1995,8.9,0,,,
Brush Lake Closed Basin,Municipal,1994,8,0,,,
Brush Lake Closed Basin,Municipal,1993,9.2,0,,,
Brush Lake Closed Basin,Municipal,1992,9,0,,,
Brush Lake Closed Basin,Municipal,1991,7.7,0,,,
Brush Lake Closed Basin,Municipal,1990,9.7,0,,,
Brush Lake Closed Basin,Municipal,1989,13.1,0,,,
Brush Lake Closed Basin,Municipal,1988,19.3,0,,,
Brush Lake Closed Basin,Municipal,1987,16.4,0,,,
Brush Lake Closed Basin,Municipal,1986,15.1,0,,,
Brush Lake Closed Basin,Municipal,1985,16.5,0,,,
